region	sector	indout
BG	Inland water transport	72.5798189682
BG	Air transport (62)	1067.24859123
BG	Supporting and auxiliary transport activities; activities of travel agencies (63)	3898.45116805
BG	Post and telecommunications (64)	2724.28012625
BG	Financial intermediation, except insurance and pension funding (65)	5003.45438891
BG	Insurance and pension funding, except compulsory social security (66)	1141.92251059
BG	Activities auxiliary to financial intermediation (67)	325.803299815
BG	Real estate activities (70)	8050.28151314
BG	Renting of machinery and equipment without operator and of personal and household goods (71)	294.223494355
BG	Computer and related activities (72)	1134.45244766
BG	Research and development (73)	342.670585838
BG	Other business activities (74)	4943.26987762
BG	Public administration and defence; compulsory social security (75)	6238.57892604
BG	Education (80)	3945.99033249
BG	Health and social work (85)	3684.24015846
BG	Incineration of waste: Food	2.91014214668
BG	Incineration of waste: Paper	3.99704727392
BG	Incineration of waste: Plastic	2.4315896935
BG	Incineration of waste: Metals and Inert materials	11.4551829812
BG	Incineration of waste: Textiles	0.743452137071
BG	Incineration of waste: Wood	1.0706222078
BG	Incineration of waste: Oil/Hazardous waste	12.2135721688
BG	Biogasification of food waste, incl. land application	0
BG	Biogasification of paper, incl. land application	0
BG	Biogasification of sewage slugde, incl. land application	0
BG	Composting of food waste, incl. land application	1.04518409155
BG	Composting of paper and wood, incl. land application	0
BG	Waste water treatment, food	23.0601411307
BG	Waste water treatment, other	37.3972844433
BG	Landfill of waste: Food	156.549321802
BG	Landfill of waste: Paper	93.7888271766
BG	Landfill of waste: Plastic	8.0752068144
BG	Landfill of waste: Inert/metal/hazardous	125.929434912
BG	Landfill of waste: Textiles	21.4238924355
BG	Landfill of waste: Wood	25.3128585194
BG	Activities of membership organisation n.e.c. (91)	301.81032097
BG	Recreational, cultural and sporting activities (92)	2289.13372631
BG	Other service activities (93)	350.018800775
BG	Private households with employed persons (95)	0
BG	Extra-territorial organizations and bodies	0
CY	Cultivation of paddy rice	0.224553586648
CY	Cultivation of wheat	6.66502539656
CY	Cultivation of cereal grains nec	14.4440895712
CY	Cultivation of vegetables, fruit, nuts	284.184437285
CY	Cultivation of oil seeds	37.4743733566
CY	Cultivation of sugar cane, sugar beet	0.215807940993
CY	Cultivation of plant-based fibers	0
CY	Cultivation of crops nec	135.350801034
CY	Cattle farming	16.8782356775
CY	Pigs farming	150.003521531
CY	Poultry farming	132.048003102
CY	Meat animals nec	72.6430799698
CY	Animal products nec	5.54855291969
CY	Raw milk	124.9798929
CY	Wool, silk-worm cocoons	0.110222183866
CY	Manure treatment (conventional), storage and land application	0.224553586648
CY	Manure treatment (biogas), storage and land application	0.224553586648
CY	Forestry, logging and related service activities (02)	9.80052717408
CY	Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)	60.0548037612
CY	Mining of coal and lignite; extraction of peat (10)	0.000423856322768
CY	Extraction of crude petroleum and services related to crude oil extraction, excluding surveying	0
CY	Extraction of natural gas and services related to natural gas extraction, excluding surveying	0
CY	Extraction, liquefaction, and regasification of other petroleum and gaseous materials	0
CY	Mining of uranium and thorium ores (12)	0
CY	Mining of iron ores	0.000423856322768
CY	Mining of copper ores and concentrates	0.734228441925
CY	Mining of nickel ores and concentrates	0.000423856322768
CY	Mining of aluminium ores and concentrates	0.000423856322768
CY	Mining of precious metal ores and concentrates	0.000423856322768
CY	Mining of lead, zinc and tin ores and concentrates	0.000423856322768
CY	Mining of other non-ferrous metal ores and concentrates	0.000423856322768
CY	Quarrying of stone	0.000423856322768
CY	Quarrying of sand and clay	123.316734916
CY	Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.	74.5704639358
CY	Processing of meat cattle	19.8782896216
CY	Processing of meat pigs	255.562199625
CY	Processing of meat poultry	39.6035848869
CY	Production of meat products nec	102.473170543
CY	Processing vegetable oils and fats	52.6086965735
CY	Processing of dairy products	237.162448809
CY	Processed rice	2.6605308694
CY	Sugar refining	0.824935590859
CY	Processing of Food products nec	513.631438943
CY	Manufacture of beverages	109.63443953
CY	Manufacture of fish products	43.4945694902
CY	Manufacture of tobacco products (16)	41.4293993742
CY	Manufacture of textiles (17)	49.0817759498
CY	Manufacture of wearing apparel; dressing and dyeing of fur (18)	92.5206676195
CY	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)	14.6337327194
CY	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)	234.11837193
CY	Re-processing of secondary wood material into new wood material	44.5900569177
CY	Pulp	2.67887623827
CY	Re-processing of secondary paper into new pulp	37.3723915712
CY	Paper	39.944437076
CY	Publishing, printing and reproduction of recorded media (22)	185.865632542
CY	Manufacture of coke oven products	0.0909048374587
CY	Petroleum Refinery	12.9969482121
CY	Processing of nuclear fuel	0.201510333858
CY	Plastics, basic	25.0850241415
CY	Re-processing of secondary plastic into new plastic	69.8006539119
CY	N-fertiliser	0
CY	P- and other fertiliser	13.7106921234
CY	Chemicals nec	57.9887249721
CY	Manufacture of rubber and plastic products (25)	143.878227799
CY	Manufacture of glass and glass products	0
CY	Re-processing of secondary glass into new glass	0
